year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1927;Serbia;;Not specified;;Not specified;;Not specified;12;10-50;5.9;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.63905732961526
1927;China;40912;10000-100000;524;500-2000;;Not specified;27;10-50;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;7.37337430991005
1856;China;300;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1857;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;8.3;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.52209279817015
1857;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1857;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1857;Italy;10000;10000-100000;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1859;Turkey;15000;10000-100000;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1859;Azerbaijan;100;0-1000;;Not specified;;Not specified;10;10-50;5.9;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.71357206670431
1859;Chile;10;0-1000;;Not specified;0.93;0-100;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.85646198459459
1861;China;2;0-1000;8;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1861;Greece;17;0-1000;;Not specified;0.04;0-100;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.2257466737132
1862;Russia;;Not specified;;Not specified;;Not specified;40;10-50;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.12249280951439
1862;Philippines;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.23832462503951
1862;Ghana;3;0-1000;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;0.693147180559945
1862;Turkey;800;0-1000;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1862;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1863;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1863;Philippines;400;0-1000;2000;2000-10000;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.23832462503951
1863;China;9;0-1000;10;0-100;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1863;Turkey;2;0-1000;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1864;Iran;100;0-1000;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.56807791141198
1865;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
1865;United States of America;;Not specified;;Not specified;0.5;0-100;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.52209279817015
1865;Philippines;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.23832462503951
1866;Albania;;Not specified;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.26267987704132
1868;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1868;Bangladesh;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;2.70805020110221
1868;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;5.11198778835654
1868;United States of America;30;0-1000;;Not specified;0.35;0-100;;Not specified;6.8;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.52209279817015
1868;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1869;Nepal;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.02535169073515
1869;Chile;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.85646198459459
1869;Turkey;3;0-1000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1870;China;2300;1000-10000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1870;Greece;100;0-1000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.2257466737132
1870;Greece;100;0-1000;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.2257466737132
1871;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;5.9;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.52209279817015
1871;Iran;2000;1000-10000;;Not specified;;Not specified;15;10-50;5.6;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
1872;Iran;4000;1000-10000;;Not specified;;Not specified;15;10-50;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
1872;Peru;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.35957386867238
1872;Azerbaijan;;Not specified;;Not specified;;Not specified;7;0-10;5.79;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.71357206670431
1872;United States of America;27;0-1000;56;0-100;0.25;0-100;;Not specified;7.8;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.52209279817015
1872;Turkey;1800;1000-10000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1873;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.52209279817015
1873;Papua New Guinea;;Not specified;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.22766249872865
1874;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1874;Venezuela;;Not specified;;Not specified;;Not specified;16;10-50;5.9;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.24849524204936
1875;Mexico;25;0-1000;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1875;Turkey;1300;1000-10000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1875;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1875;Colombia;1001;1000-10000;;Not specified;;Not specified;20;10-50;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.15905529921453
1875;Eritrea;;Not specified;;Not specified;;Not specified;;Not specified;6.2;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;2.70805020110221
1875;Papua New Guinea;;Not specified;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.22766249872865
1876;China;;Not specified;60;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1878;Venezuela;400;0-1000;;Not specified;;Not specified;13;10-50;5.95;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;4.24849524204936
1878;China;70;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1879;Côte d'Ivoire;;Not specified;;Not specified;;Not specified;;Not specified;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;0
1879;Iran;2000;1000-10000;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
1879;Iran;700;0-1000;;Not specified;;Not specified;15;10-50;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
1879;China;22000;10000-100000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;7.37337430991005
1879;Egypt;;Not specified;;Not specified;;Not specified;;Not specified;5.95;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;1.38629436111989
1880;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1880;China;8;0-1000;9;0-100;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1880;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1880;Turkey;30;0-1000;;Not specified;;Not specified;;Not specified;6.7;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1880;Chile;2;0-1000;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.85646198459459
1881;Taiwan;11;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1881;China;480;0-1000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1881;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1881;Turkey;12;0-1000;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1882;China;11;0-1000;;Not specified;;Not specified;;Not specified;5.87;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1882;Taiwan;8;0-1000;3;0-100;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1883;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;5.15905529921453
1883;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.18;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
1883;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1884;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1884;China;17;0-1000;80;0-100;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1884;Spain;745;0-1000;1475;500-2000;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;2.63905732961526
1885;China;80;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1885;Bangladesh;75;0-1000;;Not specified;;Not specified;;Not specified;6.9;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;2.70805020110221
1885;Kyrgyzstan;54;0-1000;;Not specified;;Not specified;15;10-50;6.9;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;
1885;Algeria;33;0-1000;;Not specified;;Not specified;;Not specified;5.95;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.78418963391826
1885;China;4;0-1000;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1886;United States of America;60;0-1000;;Not specified;5;0-100;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.52209279817015
