year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1994;Argentina;;Not specified;;Not specified;;Not specified;600.5;Not specified;6.66;6-7;;Not specified;-30.95;<0;111910;0-500000;1.4;0-2;12.6023;0-100;;6.12905021006055
1994;Chile;;Not specified;;Not specified;;Not specified;52.1;Not specified;5.95;5-6;;Not specified;-30.95;<0;35640;0-500000;2.4;2-5;19.1124;0-100;;6.85646198459459
1994;Bolivia;;Not specified;;Not specified;;Not specified;630.9;Not specified;5.2;5-6;;Not specified;-30.95;<0;9520;0-500000;;Not specified;7.10212;0-100;;4.85981240436167
1994;China;;Not specified;;Not specified;;Not specified;46.2;Not specified;5.2;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;Mexico;;Not specified;;Not specified;;Not specified;56.4;Not specified;5.46;5-6;;Not specified;-30.95;<0;326500;0-500000;2.3;2-5;45.4304;0-100;;6.02344759296103
1994;Japan;;Not specified;;Not specified;;Not specified;76.6;Not specified;5.2;5-6;;Not specified;-30.95;<0;1160780;1000000-2000000;;Not specified;343.33;300-500;;6.56103066589657
1994;Iceland;;Not specified;;Not specified;;Not specified;8.6;Not specified;5.55;5-6;;Not specified;-30.95;<0;2090;0-500000;;Not specified;2.65358;0-100;;4.70048036579242
1994;Tajikistan;;Not specified;;Not specified;;Not specified;29.1;Not specified;5.1;5-6;;Not specified;-30.95;<0;3040;0-500000;;Not specified;41.4689;0-100;;4.97673374242057
1994;Pakistan;;Not specified;;Not specified;;Not specified;33;Not specified;5.9;5-6;;Not specified;-30.95;<0;76250;0-500000;;Not specified;167.659;100-200;;5.57972982598622
1994;Venezuela;;Not specified;;Not specified;;Not specified;33;Not specified;5.2;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;24.0033;0-100;;4.24849524204936
1994;Venezuela;;Not specified;;Not specified;;Not specified;20.5;Not specified;5.1;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;24.0033;0-100;;4.24849524204936
1994;Iran;;Not specified;;Not specified;;Not specified;72.7;Not specified;5.2;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Iran;;Not specified;;Not specified;;Not specified;43.3;Not specified;5.71;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Russia;;Not specified;;Not specified;;Not specified;12.3;Not specified;6.03;6-7;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.12249280951439
1994;Papua New Guinea;;Not specified;;Not specified;;Not specified;31.2;Not specified;5.29;5-6;;Not specified;-30.95;<0;2060;0-500000;;Not specified;9.83018;0-100;;7.22766249872865
1994;Myanmar;;Not specified;;Not specified;;Not specified;12.3;Not specified;5.87;5-6;;Not specified;-30.95;<0;5650;0-500000;;Not specified;64.7812;0-100;;5.51745289646471
